document_modified,version,versionLocalName,version_isDefinedBy,version_issued,version_status,replaces_version,replaces1_version,replaces2_version,label,skos_inScheme,controlled_value_string,definition,usage,notes,examples,type,term_localName
2022-01-26T09:57:38-03:00,http://rs.rebipp.org.br/ppi/cv/version/fs-2021-12-03,fs-2021-12-03,http://rs.rebipp.org.br/ppi/cv/version/,2021-12-03,recommended,,,,flowerShape controlled vocabulary,,,A SKOS ConceptScheme to be used as a controlled vocabulary for the Plant-Pollinator Interactions term ppi:flowerShape,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,fs
2022-01-26T09:57:38-03:00,http://rs.rebipp.org.br/ppi/cv/version/fs001-2021-12-03,fs001-2021-12-03,http://rs.rebipp.org.br/ppi/cv/version/,2021-12-03,recommended,,,,dish,fs,dish,Dish- to bowl-shaped flowers,,See Faegri and Pijl 1979 ,,http://www.w3.org/2004/02/skos/core#Concept,fs001
2022-01-26T09:57:38-03:00,http://rs.rebipp.org.br/ppi/cv/version/fs002-2021-12-03,fs002-2021-12-03,http://rs.rebipp.org.br/ppi/cv/version/,2021-12-03,recommended,,,,bell-funnel,fs,bellFunnel,Convex contour (bell) or straight or concave (funnel) shaped flowers,,See Faegri and Pijl 1979 ,,http://www.w3.org/2004/02/skos/core#Concept,fs002
2022-01-26T09:57:38-03:00,http://rs.rebipp.org.br/ppi/cv/version/fs003-2021-12-03,fs003-2021-12-03,http://rs.rebipp.org.br/ppi/cv/version/,2021-12-03,recommended,,,,brush,fs,brush,Perianth is reduced or split into filiform segments interspersed between sexual organs,,See Faegri and Pijl 1979 ,,http://www.w3.org/2004/02/skos/core#Concept,fs003
2022-01-26T09:57:38-03:00,http://rs.rebipp.org.br/ppi/cv/version/fs004-2021-12-03,fs004-2021-12-03,http://rs.rebipp.org.br/ppi/cv/version/,2021-12-03,recommended,,,,flag,fs,flag,"The flag type shows the same division of the pollination unit into an upper and lower part, but in this case the sexual organs are found in the lower part, and the insects carry the pollen on their abdominal side (sternotribic)",,See Faegri and Pijl 1979 ,,http://www.w3.org/2004/02/skos/core#Concept,fs004
2022-01-26T09:57:38-03:00,http://rs.rebipp.org.br/ppi/cv/version/fs005-2021-12-03,fs005-2021-12-03,http://rs.rebipp.org.br/ppi/cv/version/,2021-12-03,recommended,,,,gullet,fs,gullet,"Flower shape where sexual orgargs are restricted to the functionally upper side of the pollination unit, and pollen is deposited on the back (upper side of the head) of the pollinator (nototribic)",,See Faegri and Pijl 1979 ,,http://www.w3.org/2004/02/skos/core#Concept,fs005
2022-01-26T09:57:38-03:00,http://rs.rebipp.org.br/ppi/cv/version/fs007-2021-12-03,fs007-2021-12-03,http://rs.rebipp.org.br/ppi/cv/version/,2021-12-03,recommended,,,,tube,fs,tube,"Tubes may be central, as a corolla tube, subcentric, as a spur, or excentric. The sub- and excentric types may be convergent with or divergent from the main axis of the blossom. Tubes and spurs are usually single or double, and has multiple, subcentric convergent spurs. Many composite heads are also multitubula.",,See Faegri and Pijl 1979 ,,http://www.w3.org/2004/02/skos/core#Concept,fs007
2022-01-26T09:57:38-03:00,http://rs.rebipp.org.br/ppi/cv/version/fo-2021-12-03,fo-2021-12-03,http://rs.rebipp.org.br/ppi/cv/version/,2021-12-03,recommended,,,,flowerOrientation controlled vocabulary,,,A SKOS ConceptScheme to be used as a controlled vocabulary for the Plant-Pollinator Interactions term ppi:flowerOrientation,,,,http://www.w3.org/2004/02/skos/core#ConceptScheme,fo
2022-01-26T09:57:38-03:00,http://rs.rebipp.org.br/ppi/cv/version/fo001-2021-12-03,fo001-2021-12-03,http://rs.rebipp.org.br/ppi/cv/version/,2021-12-03,recommended,,,,vertical,fo,vertical,Flower facing upwards,,Flower vertically towards the sky,,http://www.w3.org/2004/02/skos/core#Concept,fo001
2022-01-26T09:57:38-03:00,http://rs.rebipp.org.br/ppi/cv/version/fo002-2021-12-03,fo002-2021-12-03,http://rs.rebipp.org.br/ppi/cv/version/,2021-12-03,recommended,,,,horizontal,fo,horizontal,Flower roughly parallel to the ground,,,,http://www.w3.org/2004/02/skos/core#Concept,fo002
