linked_affected_resource,decision_localName
http://rs.rebipp.org.br/ppi/terms/Animal,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/caste,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/Plant,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/antherDehiscenceType,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/flowerAbundance,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/floralSymmetry,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/floralSystem,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/plantHabit,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/humanUse,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/matingSystem,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/selfIncompatibilityType,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/apomiticSystemEmbryoOrigin,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/apomiticSystemFertilization,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/apomiticSystemReproduction,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/sexualSystem,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/Flower,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/antherPollenGrainsQuantity,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/stigmaticAreaInSquareMilimiters,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/styleLengthInMilimiters,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/coloredFlowerStructure,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/flowerColor,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/flowerShape,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/flowerOrientation,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/flowerOpeningType,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/floralAttractants,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/ovuleQuantity,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/flowerLongevity,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/flowerOpeningPeriod,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/functionalFlowerLifespanInHours,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/Interaction,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/visitedFlowerSex,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/animalPlaceOfContact,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/nectarCollectingBodyPart,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/nectarCollectingBodyPartLengthInMilimiters,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/flowerPlaceOfContact,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/resourceCollected,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/visitedFlowersQuantity,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/numberOfRemovedPollenGrains,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/numberOfConspecificPollenGrains,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/numberOfHeterospecificPollenGrains,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/numberOfFertilizedOvules,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/numberOfPollenTubes,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/seedMassInMiligrams,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/seedSet,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/fruitMassInGrams,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/fruitSet,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/numberOfExposedFlowers,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/NectarDynamics,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/accumlatedNectarVolumeInMicroliters,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/accumulatedNectarConcentration,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/accumulatedNectarHours,decision-2022-01-06_1
http://rs.rebipp.org.br/ppi/terms/accumulatedNectarFlowers,decision-2022-01-06_1
