document_modified,term_localName,dcterms_isPartOf,dataset_iri,dcterms_modified,label,rdfs_comment
2022-01-07T11:08:01-03:00,terms,http://rs.rebipp.org.br/index,http://rs.rebipp.org.br/index/terms,2021-12-03,Term list for plant-pollinator interactions vocabulary,
2022-01-07T11:08:01-03:00,terms-versions,http://rs.rebipp.org.br/index,http://rs.rebipp.org.br/index/terms-versions,2021-12-03,Term list for plant-pollinator interactions vocabulary versions,
2022-01-07T11:08:01-03:00,docs,http://rs.rebipp.org.br/index,http://rs.rebipp.org.br/index/docs,2021-12-03,REBIPP standards documents,
2022-01-07T11:08:01-03:00,docs-roles,http://rs.rebipp.org.br/index,http://rs.rebipp.org.br/index/docs-roles,2021-12-03,REBIPP standards documents author roles,
2022-01-07T11:08:01-03:00,docs-versions,http://rs.rebipp.org.br/index,http://rs.rebipp.org.br/index/docs-versions,2021-12-03,REBIPP standards document versions,
2022-01-07T11:08:01-03:00,decisions,http://rs.rebipp.org.br/index,http://rs.rebipp.org.br/index/decisions,2021-12-03,REBIPP Executive Committee decisions,
2022-01-07T11:08:01-03:00,index,http://rs.rebipp.org.br/index,http://rs.rebipp.org.br/index/index,2021-12-03,REBIPP metadata database index,
2022-01-27T08:56:43-03:00,ppicv,http://rs.rebipp.org.br/index,http://rs.rebipp.org.br/index/ppicv,2021-12-03,Controlled vocabulary for plant-pollinator interactions terms,
2022-01-27T08:56:43-03:00,ppicv-versions,http://rs.rebipp.org.br/index,http://rs.rebipp.org.br/index/ppicv-versions,2021-12-03,Controlled vocabulary for plant-pollinator interactions terms versions,
2022-01-27T08:56:43-03:00,term-lists,http://rs.rebipp.org.br/index,http://rs.rebipp.org.br/index/term-lists,2021-12-03,REBIPP vocabulary term lists,
2021-01-27T08:56:43-03:00,term-lists-versions,http://rs.rebipp.org.br/index,http://rs.rebipp.org.br/index/term-lists-versions,2021-12-03,REBIPP vocabulary term list versions,
