number,uri
3279,/dwc/terms/index.htm
2603,/dwc/text/tdwg_dwc_text.xsd
1078,/
838,/dwc/index.htm
677,/dwc/terms/history/index.htm
478,/dwc/terms/simple/index.htm
367,/dwc/terms/guides/text/index.htm
328,/dwc/terms/guides/rdf/index.htm
324,/dwc/xsd/tdwg_dwc_class_terms.xsd
175,/dwc/xsd/tdwg_dwc_simple.xsd
171,/dwc/terms/namespace/index.htm
163,/dwc/xsd/tdwg_dwcterms.xsd
146,/dwc/terms/guides/xml/index.htm
133,/dwc/terms/history/dwctoabcd/index.htm
120,/dwc/xsd/tdwg_basetypes.xsd
93,/dwc/xsd/tdwg_dwc_extensions.xsd
92,/dwc/terms/history/versions/index.htm
60,/dwc/terms/history/decisions/index.htm
35,/dwc/xsd/tdwg_dwc_classes.xsd
22,/dwc/terms/history/
20,/dwc/terms/history/dwctoabcd/
11,/dwc/terms/history/versions/
8,/dwc/terms/history/decisions/
