termListVersion,termVersion
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/Animal-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/caste-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/Flower-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/antherPollenGrainsQuantity-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/stigmaticAreaInSquareMilimiters-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/styleLengthInMilimiters-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/coloredFlowerStructure-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/flowerColor-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/flowerShape-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/flowerOrientation-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/flowerOpeningType-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/floralAttractants-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/ovuleQuantity-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/flowerLongevity-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/flowerOpeningPeriod-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/functionalFlowerLifespanInHours-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/Interaction-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/visitedFlowerSex-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/animalPlaceOfContact-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/nectarCollectingBodyPart-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/nectarCollectingBodyPartLengthInMilimiters-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/flowerPlaceOfContact-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/resourceCollected-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/visitedFlowersQuantity-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/Plant-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/antherDehiscenceType-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/flowerAbundance-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/floralSymmetry-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/floralSystem-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/plantHabit-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/humanUse-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/matingSystem-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/selfIncompatibilityType-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/apomiticSystemEmbryoOrigin-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/apomiticSystemFertilization-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/apomiticSystemReproduction-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/sexualSystem-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/ReproductiveSuccess-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/numberOfRemovedPollenGrains-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/numberOfConspecificPollenGrains-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/numberOfHeterospecificPollenGrains-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/numberOfFertilizedOvules-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/numberOfPollenTubes-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/seedMassInMiligrams-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/seedSet-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/fruitMassInGrams-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/fruitSet-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/numberOfExposedFlowers-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/NectarDynamics-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/accumlatedNectarVolumeInMicroliters-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/accumulatedNectarConcentration-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/accumulatedNectarHours-2021-12-03
http://rs.rebipp.org.br/ppi/version/terms/2021-12-03,http://rs.rebipp.org.br/ppi/terms/version/accumulatedNectarFlowers-2021-12-03
