termList,term
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/Animal
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/caste
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/Plant
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/antherDehiscenceType
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/flowerAbundance
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/floralSymmetry
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/floralSystem
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/plantHabit
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/humanUse
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/matingSystem
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/selfIncompatibilityType
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/apomiticSystemEmbryoOrigin
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/apomiticSystemFertilization
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/apomiticSystemReproduction
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/sexualSystem
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/Flower
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/antherPollenGrainsQuantity
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/stigmaticAreaInSquareMilimiters
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/styleLengthInMilimiters
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/coloredFlowerStructure
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/flowerColor
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/flowerShape
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/flowerOrientation
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/flowerOpeningType
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/floralAttractants
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/ovuleQuantity
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/flowerLongevity
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/flowerOpeningPeriod
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/functionalFlowerLifespanInHours
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/Interaction
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/visitedFlowerSex
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/animalPlaceOfContact
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/nectarCollectingBodyPart
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/nectarCollectingBodyPartLengthInMilimiters
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/flowerPlaceOfContact
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/resourceCollected
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/visitedFlowersQuantity
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/ReproductiveSuccess
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/numberOfRemovedPollenGrains
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/numberOfConspecificPollenGrains
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/numberOfHeterospecificPollenGrains
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/numberOfFertilizedOvules
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/numberOfPollenTubes
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/seedMassInMiligrams
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/seedSet
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/fruitMassInGrams
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/fruitSet
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/numberOfExposedFlowers
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/NectarDynamics
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/accumlatedNectarVolumeInMicroliters
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/accumulatedNectarConcentration
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/accumulatedNectarHours
http://rs.rebipp.org.br/ppi/terms/,http://rs.rebipp.org.br/ppi/terms/accumulatedNectarFlowers
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fs
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fs001
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fs002
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fs003
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fs004
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fs005
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fs007
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fo
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fo001
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fo002
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fo003
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/adt
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/adt001
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/adt002
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/adt003
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/adt004
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/aeo
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/aeo001
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/aeo002
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/asf
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/asf001
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/asd002
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/asr
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/asr001
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/asr002
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/ms
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/ms001
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/ms002
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/ms003
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/ss
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/ss001
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/ss002
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/ss003
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/ss004
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/ss005
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/ss006
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/ss007
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/ss008
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fa
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fa001
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fa002
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fa003
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fa004
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fsy
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fsy001
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fsy002
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fsy003
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fsy004
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fsy005
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fsy006
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fsy007
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fsy008
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fsy009
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fsy010
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/fsy011
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/si
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/si001
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/si002
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/si003
http://rs.rebipp.org.br/ppicv/values/,http://rs.rebipp.org.br/ppicv/values/si004
