version,term_localName
http://rs.rebipp.org.br/ppi/terms/version/Animal-2021-12-03,Animal
http://rs.rebipp.org.br/ppi/terms/version/caste-2021-12-03,caste
http://rs.rebipp.org.br/ppi/terms/version/Plant-2021-12-03,Plant
http://rs.rebipp.org.br/ppi/terms/version/antherDehiscenceType-2021-12-03,antherDehiscenceType
http://rs.rebipp.org.br/ppi/terms/version/flowerAbundance-2021-12-03,flowerAbundance
http://rs.rebipp.org.br/ppi/terms/version/floralSymmetry-2021-12-03,floralSymmetry
http://rs.rebipp.org.br/ppi/terms/version/floralSystem-2021-12-03,floralSystem
http://rs.rebipp.org.br/ppi/terms/version/plantHabit-2021-12-03,plantHabit
http://rs.rebipp.org.br/ppi/terms/version/humanUse-2021-12-03,humanUse
http://rs.rebipp.org.br/ppi/terms/version/matingSystem-2021-12-03,matingSystem
http://rs.rebipp.org.br/ppi/terms/version/selfIncompatibilityType-2021-12-03,selfIncompatibilityType
http://rs.rebipp.org.br/ppi/terms/version/apomiticSystemEmbryoOrigin-2021-12-03,apomiticSystemEmbryoOrigin
http://rs.rebipp.org.br/ppi/terms/version/apomiticSystemFertilization-2021-12-03,apomiticSystemFertilization
http://rs.rebipp.org.br/ppi/terms/version/apomiticSystemReproduction-2021-12-03,apomiticSystemReproduction
http://rs.rebipp.org.br/ppi/terms/version/sexualSystem-2021-12-03,sexualSystem
http://rs.rebipp.org.br/ppi/terms/version/Flower-2021-12-03,Flower
http://rs.rebipp.org.br/ppi/terms/version/antherPollenGrainsQuantity-2021-12-03,antherPollenGrainsQuantity
http://rs.rebipp.org.br/ppi/terms/version/stigmaticAreaInSquareMilimiters-2021-12-03,stigmaticAreaInSquareMilimiters
http://rs.rebipp.org.br/ppi/terms/version/styleLengthInMilimiters-2021-12-03,styleLengthInMilimiters
http://rs.rebipp.org.br/ppi/terms/version/coloredFlowerStructure-2021-12-03,coloredFlowerStructure
http://rs.rebipp.org.br/ppi/terms/version/flowerColor-2021-12-03,flowerColor
http://rs.rebipp.org.br/ppi/terms/version/flowerShape-2021-12-03,flowerShape
http://rs.rebipp.org.br/ppi/terms/version/flowerOrientation-2021-12-03,flowerOrientation
http://rs.rebipp.org.br/ppi/terms/version/flowerOpeningType-2021-12-03,flowerOpeningType
http://rs.rebipp.org.br/ppi/terms/version/floralAttractants-2021-12-03,floralAttractants
http://rs.rebipp.org.br/ppi/terms/version/ovuleQuantity-2021-12-03,ovuleQuantity
http://rs.rebipp.org.br/ppi/terms/version/flowerLongevity-2021-12-03,flowerLongevity
http://rs.rebipp.org.br/ppi/terms/version/flowerOpeningPeriod-2021-12-03,flowerOpeningPeriod
http://rs.rebipp.org.br/ppi/terms/version/functionalFlowerLifespanInHours-2021-12-03,functionalFlowerLifespanInHours
http://rs.rebipp.org.br/ppi/terms/version/Interaction-2021-12-03,Interaction
http://rs.rebipp.org.br/ppi/terms/version/visitedFlowerSex-2021-12-03,visitedFlowerSex
http://rs.rebipp.org.br/ppi/terms/version/animalPlaceOfContact-2021-12-03,animalPlaceOfContact
http://rs.rebipp.org.br/ppi/terms/version/nectarCollectingBodyPart-2021-12-03,nectarCollectingBodyPart
http://rs.rebipp.org.br/ppi/terms/version/nectarCollectingBodyPartLengthInMilimiters-2021-12-03,nectarCollectingBodyPartLengthInMilimiters
http://rs.rebipp.org.br/ppi/terms/version/flowerPlaceOfContact-2021-12-03,flowerPlaceOfContact
http://rs.rebipp.org.br/ppi/terms/version/resourceCollected-2021-12-03,resourceCollected
http://rs.rebipp.org.br/ppi/terms/version/visitedFlowersQuantity-2021-12-03,visitedFlowersQuantity
http://rs.rebipp.org.br/ppi/terms/version/ReproductiveSuccess-2021-12-03,ReproductiveSuccess
http://rs.rebipp.org.br/ppi/terms/version/numberOfRemovedPollenGrains-2021-12-03,numberOfRemovedPollenGrains
http://rs.rebipp.org.br/ppi/terms/version/numberOfConspecificPollenGrains-2021-12-03,numberOfConspecificPollenGrains
http://rs.rebipp.org.br/ppi/terms/version/numberOfHeterospecificPollenGrains-2021-12-03,numberOfHeterospecificPollenGrains
http://rs.rebipp.org.br/ppi/terms/version/numberOfFertilizedOvules-2021-12-03,numberOfFertilizedOvules
http://rs.rebipp.org.br/ppi/terms/version/numberOfPollenTubes-2021-12-03,numberOfPollenTubes
http://rs.rebipp.org.br/ppi/terms/version/seedMassInMiligrams-2021-12-03,seedMassInMiligrams
http://rs.rebipp.org.br/ppi/terms/version/seedSet-2021-12-03,seedSet
http://rs.rebipp.org.br/ppi/terms/version/fruitMassInGrams-2021-12-03,fruitMassInGrams
http://rs.rebipp.org.br/ppi/terms/version/fruitSet-2021-12-03,fruitSet
http://rs.rebipp.org.br/ppi/terms/version/numberOfExposedFlowers-2021-12-03,numberOfExposedFlowers
http://rs.rebipp.org.br/ppi/terms/version/NectarDynamics-2021-12-03,NectarDynamics
http://rs.rebipp.org.br/ppi/terms/version/accumlatedNectarVolumeInMicroliters-2021-12-03,accumlatedNectarVolumeInMicroliters
http://rs.rebipp.org.br/ppi/terms/version/accumulatedNectarConcentration-2021-12-03,accumulatedNectarConcentration
http://rs.rebipp.org.br/ppi/terms/version/accumulatedNectarHours-2021-12-03,accumulatedNectarHours
http://rs.rebipp.org.br/ppi/terms/version/accumulatedNectarFlowers-2021-12-03,accumulatedNectarFlowers
